sector,source,destination,Z_2000,Z_2001,Z_2002,Z_2003,Z_2004,Z_2005,Z_2006,Z_2007,Z_2008,Z_2009,Z_2010,Z_2011,Z_2012,Z_2013,Z_2014,simpleaverage2000,simpleaverage2001,simpleaverage2002,simpleaverage2003,simpleaverage2004,simpleaverage2005,simpleaverage2006,simpleaverage2007,simpleaverage2008,simpleaverage2009,simpleaverage2010,simpleaverage2011,simpleaverage2012,simpleaverage2013,simpleaverage2014,weightedaverage2000,weightedaverage2001,weightedaverage2002,weightedaverage2003,weightedaverage2004,weightedaverage2005,weightedaverage2006,weightedaverage2007,weightedaverage2008,weightedaverage2009,weightedaverage2010,weightedaverage2011,weightedaverage2012,weightedaverage2013,weightedaverage2014,value2000,value2001,value2002,value2003,value2004,value2005,value2006,value2007,value2008,value2009,value2010,value2011,value2012,value2013,value2014
Agriculture,AUS,AUS,9.0376987,10.803226,8.7639904,9.5384703,9.236907,9.6182938,8.2593794,8.903306,9.3625307,9.6737328,10.166908,10.162251,10.197078,10.295587,10.553664,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61.876926,68.555359,53.069374,81.859039,84.963867,95.604515,80.137581,109.092,114.9363,102.71139,135.6571,148.16107,152.1703,154.06117,161.55188
Agriculture,AUS,BRA,9.3487654,11.175061,9.0656338,9.8667727,9.5548286,9.9493437,8.5436563,9.2097454,9.6057272,9.8406315,10.250651,10.151198,10.087602,10.054933,10.306978,1.0289397,1.0308791,1.0248289,1.0303845,1.0175064,1.0131327,1.0164299,1.0114038,1.0164999,1.0081469,1.0109038,1.0173529,1.0262302,1.0169625,1.0167402,1.0338967,1.0387741,1.0274606,1.03711,1.0220855,1.016764,1.0222174,1.017252,1.0234023,1.0127838,1.0166684,1.0224361,1.0228885,1.0066866,1.006892,.0060769338,.0069969269,.0030895909,.0058352761,.023012407,.020114833,.014212521,.011011037,.011954562,.0095195621,.022484673,.014746852,.010337128,.0082053496,.0076278821
Agriculture,AUS,CAN,9.0560637,10.825179,8.7817993,9.5578537,9.2556772,9.6378393,8.2761631,8.9213982,9.3645983,9.6577654,10.130462,10.105493,10.119018,10.140214,10.394396,1.0012131,1.0025103,1.0080036,1.0017691,1.016829,1.0141432,1.0140976,1.0191098,1.0109751,1.0061891,1.010988,1.0186837,1.0018638,1.0035689,1.0002316,1.000223,1.0006632,1.0005122,1.0001217,1.0002047,1.0002345,1.0004894,1.0002345,1.0001518,1.0001901,1.0001562,1.0009069,1.0019714,1.002207,1.0000172,.030152977,.026964007,.036662906,.040417425,.12819347,.19030292,.16770001,.099569105,.053739671,.042843811,.041366044,.039839339,.032117601,.041547991,.042371701
Agriculture,AUS,CHN,9.0648155,10.835641,8.790287,9.56709,9.2646217,9.6471539,8.2841616,8.9300203,9.3979769,9.7182064,10.222178,10.22631,10.27051,10.438209,10.699862,1.1631073,1.1000663,1.1098943,1.1166058,1.1263376,1.0886531,1.1243819,1.1271603,1.1337241,1.1083522,1.1141095,1.1169192,1.098428,1.1278071,1.0864966,1.372841,1.1131281,1.2155887,1.2145432,1.3530102,1.1855536,1.2968545,1.2897928,1.242345,1.2383416,1.2423964,1.2606919,1.3674213,1.3294942,1.1474886,2.4456573,2.2310152,2.6983583,2.2245846,4.68506,5.2155395,4.9156742,5.2027531,5.1636872,4.4088297,6.4522896,10.868515,12.743277,13.347306,9.6110659
Agriculture,AUS,EUC,8.9434214,10.690531,8.6725702,9.4389696,9.1405525,9.5179605,8.1732225,8.8104315,9.2964344,9.6391354,10.167153,10.200336,10.274584,10.455921,10.718018,1.0156933,1.0163457,1.0206686,1.021347,1.0208461,1.0207021,1.0209341,1.0213027,1.0230552,1.0214485,1.022234,1.0218771,1.0072538,1.0069588,1.006682,1.0125362,1.013538,1.0176811,1.0164357,1.0153486,1.0306352,1.020058,1.0118352,1.0081153,1.0172361,1.0098817,1.0019609,1.0017862,1.0012306,1.0013477,12.72581,10.21049,10.156116,8.6967754,11.31072,8.3324871,9.2702236,6.5351963,7.7509809,7.5342026,6.9633851,16.59156,17.890427,17.63492,11.052068
Agriculture,AUS,GBR,8.8902798,10.627007,8.6210375,9.3828831,9.0862389,9.4614048,8.1246567,8.7580795,9.2393789,9.5780449,10.100626,10.131438,10.202956,10.318933,10.577595,1.0173466,1.0169282,1.0228442,1.0236351,1.0229107,1.0225484,1.0228717,1.0234897,1.0242406,1.0233023,1.0242897,1.0239402,1.0095782,1.0094355,1.0086871,1.0127292,1.0084167,1.0131096,1.0139878,1.0175184,1.0322101,1.0217838,1.013497,1.009392,1.0198694,1.012834,1.0046289,1.0041168,1.0032566,1.0031875,.16593982,.11898293,.14361636,.1209074,.17212875,.22251344,.18197344,.13944113,.19260071,.10221085,.082548603,.065453932,.061974537,.11865016,.053128883
Agriculture,AUS,IDN,8.9688711,10.720952,8.6972485,9.4658289,9.1665621,9.5450449,8.1964798,8.8355026,9.3255424,9.6721411,10.205025,10.24148,10.319286,10.542029,10.806285,1.0424066,1.042601,1.0229729,1.0348569,1.0310607,1.0295664,1.0265098,1.0379043,1.028904,1.0343879,1.0285065,1.0326666,1.0284684,1.0282835,1.0395027,1.0130814,1.0110387,1.0124288,1.0131372,1.0262097,1.0263511,1.0263567,1.0268184,1.027148,1.0290815,1.0271664,1.0273798,1.0265774,1.0170947,1.0102572,2.1050038,2.057296,2.1895001,1.7345082,2.4814527,2.283303,2.175632,2.5713141,3.2380648,3.3481424,3.9003162,5.315403,4.8228951,5.0928178,4.8324456
Agriculture,AUS,IND,8.9708576,10.723327,8.6991758,9.467926,9.1685925,9.5471592,8.1982956,8.8374596,9.3271465,9.6733131,10.205729,10.241639,10.318879,10.54107,10.805301,1.1763136,1.2284683,1.2167048,1.2249866,1.2113781,1.2394525,1.1568384,1.1550978,1.0820371,1.199996,1.1415182,1.1482248,1.1674081,1.1585106,1.2770678,1.1090585,1.1904078,1.2419682,1.251567,1.2560481,1.2196563,1.200063,1.1810664,1.0743377,1.2430812,1.1533899,1.1739595,1.1742127,1.1743498,1.2797205,.60640174,.70549828,.56407452,.43104726,.50586474,.46006456,.61975849,.74937135,.56472898,.64165395,.83445984,.74221671,.99486578,.87000686,.71627557
Agriculture,AUS,JPN,8.9365664,10.682336,8.6659222,9.4317341,9.1335459,9.5106649,8.1669569,8.8036785,9.2928343,9.6391535,10.171233,10.208611,10.287246,10.481433,10.744168,1.0082417,1.0075727,1.005579,1.0078942,1.0089861,1.0070771,1.0063933,1.0077441,1.0067617,1.0064092,1.0068753,1.0064987,1.0069513,1.0060475,1.0083735,1.0020028,1.0018334,1.0016698,1.0014701,1.0019399,1.0019088,1.0016574,1.0009732,1.0025938,1.0042641,1.0019495,1.0032237,1.001381,1.0013064,1.0010673,3.3589206,2.6860249,2.6992126,2.8483615,4.271204,3.3223515,3.32616,3.0302126,4.2810102,2.8795123,3.3686359,4.2879381,3.8625553,3.9391303,2.7730231
Agriculture,AUS,KOR,9.0410318,10.80721,8.7672234,9.5419884,9.2403135,9.6218414,8.2624264,8.9065905,9.3788366,9.704298,10.213935,10.224662,10.275699,10.450336,10.712293,1.5789402,1.6691138,1.5610949,1.4597963,1.4303752,1.5737836,1.5045508,1.5206959,1.5276523,1.5213091,1.8625352,1.69669,1.9523997,2.7234988,2.2793672,1.0934814,1.1460388,1.1362481,1.1397662,1.1395663,1.1659677,1.1592573,1.142789,1.1728469,1.1531252,1.1514276,1.1404974,1.4884909,1.5951589,1.4636997,1.1086277,1.1242595,1.005972,.8916353,1.5563248,1.0972193,1.1317194,.89616048,.78859401,.85794556,1.1927449,2.6640096,2.4642427,1.6448222,1.4432285
Agriculture,AUS,MEX,8.9598494,10.710168,8.6885004,9.4563074,9.157342,9.5354443,8.1882353,8.8266153,9.3125982,9.6549244,10.182756,10.214908,10.288142,10.481344,10.744078,1.0725241,1.0597134,1.0637378,1.0649971,1.0674926,1.0893821,1.1146016,1.0780705,1.0922428,1.0442567,1.0475125,1.0760893,1.0459288,1.0302244,1.0528965,1.0612631,1.0793732,1.0834141,1.0801023,1.0919958,1.030574,1.075887,1.0393196,1.087501,1.0421392,1.0458132,1.0132422,1.092079,1.0367578,1.0322146,.15209618,.06487368,.062684231,.017802875,.040761448,.099629387,.0709638,.081081256,.066469632,.0073037078,.026290281,.0046634651,.0068713399,.020355977,.0074866158
Agriculture,AUS,ROW,8.7928534,10.510549,8.5265617,9.2800579,8.9866648,9.3577194,8.0356207,8.6621027,9.1499443,9.4979057,10.029729,10.07435,10.159977,10.24196,10.498692,1.0016825,1.0014775,1.0012293,1.001822,1.0012956,1.0020355,1.0018898,1.0017407,1.001824,1.0019181,1.0011797,1.0012239,1.0009192,1.0009822,1.0009803,1.0006101,1.0006509,1.0006791,1.0008504,1.0006101,1.0009747,1.0010861,1.0009704,1.001305,1.0012364,1.0011766,1.0011376,1.0010695,1.0010781,1.0002893,8.9677105,10.308421,9.1709118,7.685472,14.985754,10.528151,11.040118,8.6219778,13.644447,18.057623,21.931381,30.663958,31.267115,27.551165,19.679022
Agriculture,AUS,RUS,7.561554,9.0387087,7.3325515,7.9805317,7.7282252,8.0473166,6.9103594,7.4491129,7.9569936,8.3534698,8.9227333,9.0668745,9.2518454,8.5496035,8.7639074,1,1.0230335,1.1000063,1,1,1.0648117,1,1.0558476,1.0495507,1.0873209,1.0891466,1.0531561,1.0901484,1.078146,1.0756508,1,1.0230335,1.0928873,1,1,1.0739224,1,1.0512388,1.048991,1.0816941,1.0878196,1.0433215,1.0829433,1.0903249,1.0903597,.00095464301,.037299994,.037679672,.054690447,.026930578,.0074175992,.065466084,.053588346,.15143007,.24997567,.072695628,.1882813,.11319084,.080714524,.036145668
Agriculture,AUS,TUR,8.9719458,10.724628,8.7002316,9.4690752,9.1697054,9.5483179,8.1992903,8.8385324,9.3277664,9.6734123,10.205245,10.240547,10.317152,10.537577,10.80172,1.0789044,1.0817578,1.0543054,1.0669179,1.048499,1.0740669,1.0791605,1.0784273,1.0409666,1.2428555,1.374194,1.2564418,1,1.1146792,1,1.0658027,1.1040349,1.1111134,1.1132323,1.066494,1.0356767,1.0462319,1.0305811,1.0468208,1.1064519,1.5283484,1.2651892,1,1.1652772,1,.15825982,.049556434,.096176594,.028205277,.14103779,.013286318,.018572759,.022877423,.047093842,.010516537,.093354054,.57293969,.27851772,.13140661,.051988509
Agriculture,AUS,USA,9.4123774,11.251102,9.1273155,9.9339104,9.6198425,10.017041,8.6017885,9.2724094,9.5991364,9.756443,10.078113,9.8918476,9.7371368,9.3588619,9.5934582,1.0141933,1.0072986,1.0136708,1.0072236,1.0094572,1.0027102,1.0013286,1.0007718,1,1,1.0000598,1,1,1,1,1.0135223,1.0072013,1.0094627,1.00875,1.0076725,1.0039465,1.0020516,1.0015618,1,1,1,1,1,1,1,.45280021,.25777817,.24041617,.19598687,.27136868,.24966504,.2095122,.21414052,.20677823,.15641131,.13943499,.12413371,.16745234,.2094641,.24800962
Agriculture,BRA,AUS,3.6908526,3.9043188,4.3850298,4.6785421,4.4227185,3.8624618,3.801471,4.3714118,5.0129147,4.7315531,7.0903406,8.155798,8.3978157,8.8599272,8.792984,1.0000299,1.00001,1.0000299,1.0000149,1.0000149,1.0000149,1.0000149,1.0099748,1.0099698,1.0000149,1.0099748,1,1.00001,1.00001,1.00001,1.0000299,1.0000281,1.0000299,1.0000143,1.0000052,1.0000012,1.0000045,1.0006126,1.0009024,1.0000033,1.000203,1,1.0000095,1.0000204,1.0000119,.042377114,.023701672,.046679538,.061305005,.048182201,.075680248,.084921353,.097142458,.19047859,.14091043,.15480968,.20099282,.13964154,.099125847,.14176491
Agriculture,BRA,BRA,3.8234558,4.0445914,4.542573,4.8466301,4.5816159,4.0012302,3.9380484,4.5284653,5.1930161,4.901546,7.3450785,8.3956614,8.6842079,9.2275057,9.2021418,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,110.82102,94.760056,98.269806,119.94341,135.49849,160.30409,183.84111,233.27803,304.6279,270.06961,335.32089,412.74359,371.00848,381.71503,367.98096
Agriculture,BRA,CAN,3.7729838,3.9912002,4.4826083,4.7826519,4.5211358,3.9484117,3.8860638,4.4686871,5.1244655,4.8368425,7.2481189,8.3043642,8.5752001,9.0875959,9.0464067,1.0007789,1.0007037,1.0012507,1.0026317,1.0227371,1.0037473,1.0036572,1.0017581,1.0019099,1.0222733,1.0330601,1.0248317,1.0029476,1.0017612,1.0010642,1.0002753,1.0004717,1.0003532,1.0014501,1.0023298,1.0012095,1.0022264,1.0007153,1.0005984,1.0004585,1.0005465,1.0008017,1.0003572,1.0003898,1.0002159,.11415333,.11108404,.13716969,.1322927,.14532478,.15626051,.15289091,.18019247,.1829865,.18199416,.24515308,.3569586,.26790231,.2439727,.34323645
Agriculture,BRA,CHN,3.6885273,3.9018588,4.382267,4.6755943,4.4199324,3.8600283,3.7990758,4.3686576,5.0097566,4.7285719,7.0858731,8.1515913,8.3927937,8.8534813,8.7858095,1.4338468,1.0923892,1.0677488,1.1080296,1.131799,1.1082468,1.126685,1.1328636,1.1162422,1.0820974,1.0796437,1.0969844,1.1609702,1.2219774,1.125756,2.0533345,1.0367031,1.0276982,1.0306214,1.0315925,1.0359346,1.0369875,1.0319098,1.026353,1.0283848,1.0276544,1.0270554,1.2838359,1.2305719,1.1150188,.8163079,1.3606642,2.2520995,3.5436852,4.9532323,6.3227186,7.5219998,9.1514759,16.793217,19.815212,21.616104,33.252098,38.822342,50.89603,50.238392
Agriculture,BRA,EUC,3.7010829,3.9151406,4.3971839,4.6915097,4.4349775,3.8731675,3.8120077,4.3835282,5.0268092,4.744668,7.109993,8.1743031,8.4199104,8.8882856,8.8245506,1.0111252,1.0229706,1.0285815,1.0289861,1.0169748,1.0237809,1.0188497,1.0190998,1.0196378,1.0193918,1.0198851,1.0161294,1.0026453,1.0025519,1.0052787,1.0131875,1.0121182,1.0229061,1.0348983,1.0111803,1.0223593,1.0151842,1.011513,1.0128305,1.0117617,1.0095223,1.0074958,1.0004067,1.0005476,1.0009826,29.291664,32.698757,34.331097,44.614017,50.039864,51.45071,52.183723,73.822205,81.49205,67.159973,68.057762,93.293175,76.48082,83.611267,97.412598
Agriculture,BRA,GBR,3.696234,3.9100113,4.3914232,4.6853638,4.4291673,3.8680933,3.8070135,4.3777852,5.0202236,4.738452,7.1006784,8.1655321,8.4094381,8.8748446,8.8095894,1.0083493,1.0181832,1.0262175,1.0260903,1.0165823,1.0244468,1.0192752,1.0197371,1.0203683,1.0197798,1.0209479,1.0170858,1.0022482,1.0022515,1.0050443,1.0081891,1.0046538,1.0154442,1.020934,1.009558,1.0219755,1.0156926,1.0120887,1.014014,1.0120927,1.0104414,1.008185,1.0002645,1.0003387,1.0008378,.42226392,.6587165,.79287463,.78123271,.84822106,.87872106,.87446707,1.2462541,1.2961934,1.0664049,.96788526,1.196128,1.1783512,1.6656648,.95082462
Agriculture,BRA,IDN,3.6931648,3.9067645,4.3877769,4.6814733,4.4254894,3.8648813,3.8038523,4.3741503,5.0160551,4.7345171,7.0947824,8.1599808,8.4028091,8.8663368,8.8001184,1.0250661,1.0300391,1.0250407,1.0251064,1.0399245,1.0398736,1.0373935,1.0374439,1.0320472,1.0497292,1.035641,1.0344172,1.0405835,1.0374986,1.034348,1.0293429,1.0178057,1.0049458,1.0164536,1.0149494,1.0197968,1.0203043,1.0149661,1.013045,1.0497292,1.0166254,1.0186237,1.0079015,1.0299397,1.0278349,.03293452,.12935919,.089797229,.12747823,.34679005,.33504999,.33297765,.44292167,.66146088,.73549259,.99152011,1.1486924,1.2749574,1.9286994,2.3620996
Agriculture,BRA,IND,3.775419,3.9937763,4.4855013,4.7857389,4.5240541,3.9509602,3.888572,4.4715714,5.1277728,4.8399644,7.2527971,8.3087692,8.5804596,9.094347,9.0539207,1.1435764,1.2462751,1.2465177,1.2489846,1.201692,1.2172045,1.2815109,1.2282826,1.1881057,1.2023314,1.115499,1.218913,1.2511232,1.2624025,1.2615942,1.0623256,1.0569565,1.1144378,1.1229982,1.1108018,1.1796638,1.2548423,1.240921,1.2224182,1.2823768,1.2223319,1.1753787,1.2173029,1.2570294,1.2164768,.0069247358,.095123678,.054893203,.016954178,.058011767,.028111191,.0092813754,.047450084,.066846922,.072668336,.039050952,.03679819,.093683235,.045642253,.092119992
